ID_Jugador,Nombre,Apellidos,Sexo,Nacionalidad,Fecha_nacimiento
123118,Tomasz,Romanowski,H,POL,1980-01-01
131161,Christopher,Mcrae,H,USA,1980-01-01
205564,Abbas,Jaber,H,CIV,1980-01-01
108791,Oskars,Vaskis,H,LAT,1980-01-02
108994,Andrew,Park,H,USA,1980-01-02
118524,Marek,Granec,H,SVK,1980-01-02
103486,Benjamin,Ebrahimzadeh,H,GER,1980-01-03
103487,Federico,Luzzi,H,ITA,1980-01-03
109058,Narciso,Reyes Rygh,H,ESP,1980-01-03
117814,Roberto,Fernandez,H,MEX,1980-01-03
118167,Cedomir,Jovanovski,H,MKD,1980-01-03
129002,Sharath,Chittyana,H,IND,1980-01-03
129255,Marc,Castellana,H,FRA,1980-01-03
142380,Fernando,Ribeiro,H,BRA,1980-01-03
204498,Marko,Toic,H,CRO,1980-01-03
108848,Khaled,Al Haji,H,QAT,1980-01-04
125081,Sergio,Penalver Cobo,H,ESP,1980-01-04
144448,Brendan,Thomas,H,RSA,1980-01-04
103488,Carl Henrik,Hansen,H,SWE,1980-01-05
103489,Nathan,Zeder,H,USA,1980-01-05
103490,Santiago,Ventura,H,ESP,1980-01-05
111124,Thierry,Roggi,H,FRA,1980-01-05
204492,Andrea,Trono,H,ITA,1980-01-05
109302,Paulo,Baumer,H,BRA,1980-01-06
117717,Alessandro,Tabacchini,H,ITA,1980-01-06
141025,Ignaci,Vallhonrat Lopez,H,ESP,1980-01-06
118094,E Shen,Wang,H,TPE,1980-01-07
138584,Nithin,Pillai,H,IND,1980-01-07
140122,Victor,Capota,H,CAN,1980-01-07
103491,Mads,Gottlieb,H,DEN,1980-01-08
130562,Peter,Jurik,H,SVK,1980-01-08
131164,Mario,Contardi,H,USA,1980-01-08
142533,Pankaj,Kulkarni,H,IND,1980-01-08
143887,Kyle,Bailey,H,USA,1980-01-08
130315,Ruslan,Kubarev,H,UKR,1980-01-09
130699,Michael,Drummond,H,USA,1980-01-09
140497,Carlos,Saez Garatea,H,ESP,1980-01-09
140327,Colin,Klose,H,USA,1980-01-10
204209,Krasimir,Kirov,H,BUL,1980-01-10
129217,William,Capdeville,H,CHI,1980-01-11
129477,Calin,Constanceanu,H,ROU,1980-01-12
134513,Toma Petrus,Dragomir,H,ROU,1980-01-12
142256,Husain,Dashti,H,KUW,1980-01-12
201412,Milenko,Pisaric,H,YUG,1980-01-12
124802,Mateo,Garcia De Los Reyes,H,ESP,1980-01-13
131776,Semen,Labedev,H,UZB,1980-01-13
141324,Kai,Zhan,H,CHN,1980-01-13
143092,Vaughan,Hughes,H,GBR,1980-01-13
204693,Laurent,Munerat,H,FRA,1980-01-13
205134,Alejandro,Posca,H,ARG,1980-01-13
117678,Bert,Van Driessen,H,BEL,1980-01-14
118294,Jimsher,Enukidze,H,GEO,1980-01-14
141736,Alexandre,Smith,H,FRA,1980-01-14
103492,Pablo,Martinez,H,MEX,1980-01-15
111475,Huu Minh,Dinh,H,FRA,1980-01-15
140425,Marco,Matteucci,H,ITA,1980-01-15
142765,Fernando,Crisosto,H,CHI,1980-01-15
203759,Xavier,Wauthier,H,BEL,1980-01-15
118142,Younes,Limam,H,MAR,1980-01-16
141036,Carlos,Ruiz Hernandez,H,ESP,1980-01-16
144264,Seth,Hauser,H,USA,1980-01-16
204147,Christoph,Sundermeier,H,GER,1980-01-16
103493,Eduardo,Bohrer,H,BRA,1980-01-17
122023,Joao Batista De,Pontes,H,BRA,1980-01-17
131192,Alan,Bohane,H,IRL,1980-01-17
140335,Alan,Maher,H,USA,1980-01-17
140643,Invasi,Afghan,H,INA,1980-01-17
144351,Jean Bosko,Safari,H,RWA,1980-01-17
203219,Blake,Baratz,H,USA,1980-01-17
139209,Junichi,Ishizaki,H,JPN,1980-01-18
143952,Christophe,Mahe,H,FRA,1980-01-18
103494,Juan Ignacio,Herrero,H,ARG,1980-01-19
103495,Marwan,Ziwar,H,EGY,1980-01-19
108608,Marwan,Zewar,H,EGY,1980-01-19
117836,Joachim,Lien,H,NOR,1980-01-19
142098,Peter,Brandersky,H,SVK,1980-01-20
129513,Filippo,Ravagni,H,ITA,1980-01-21
142252,Bharath,Raj,H,IND,1980-01-21
103496,Jalal,Chafai,H,MAR,1980-01-22
203486,Luis Alberto,Ibanez Vazquez,H,ESP,1980-01-22
109150,David,Wright,H,ECU,1980-01-24
139594,Kevin,Essary,H,USA,1980-01-24
141393,David,Villar Esquer,H,ESP,1980-01-24
118936,Marcelo,Badaracco,H,ARG,1980-01-25
142199,Nqobilizwe,Moyo,H,ZIM,1980-01-25
203767,Tomas,Miho,H,SVK,1980-01-25
103497,Artem,Derepasko,H,RUS,1980-01-26
118805,Richard,Crabtree,H,GBR,1980-01-26
141493,Sean,Dizon,H,USA,1980-01-26
103498,Marat,Safin,H,RUS,1980-01-27
124199,Dario,Chizzini,H,ARG,1980-01-27
119454,Filipe,Penteado,H,BRA,1980-01-28
125095,Johannes,Asuja,H,FIN,1980-01-28
131185,Christoffer,Messler,H,GER,1980-01-28
141286,Calle,Lumsden,H,SWE,1980-01-28
