ID_Jugador;Nombre;Apellidos;Nacionalidad;Fecha_Nacimiento
223038;Geetaarthi Sunaina;Gaba;IND;20080901
223032;Leila;Fabbri;LUX;20071220
258530;Katina Estefania;Zepeda Barrios;MEX;20071206
259112;Sarah;Ben Aba;TUN;20071018
252577;Lera;Zaginauko;ISR;20071008
256689;Sama Hassan;Hindawy;EGY;20070927
256710;Analu;Freitas;POR;20070912
257879;Daniela;Teodoro Cordeiro Peixoto De Souza;BRA;20070907
246489;Alexa;Karatancheva;BUL;20070903
257890;Tia;Darrag;EGY;20070903
255654;Giuliana;Giardina;ITA;20070827
247668;Gabriela Maria;Vancea;ROU;20070816
246501;Maria Camila;Romero Vargas;COL;20070803
258204;Amittalai;Prasutnawin;THA;20070731
256691;Salma;Noureldin;EGY;20070729
252487;Helena;Bueno;BRA;20070725
248660;Lya;Fernandez;MEX;20070724
252570;Philippa;Faerber;GER;20070720
249663;Habiba Mohamed Yousry;Ahmed;EGY;20070707
258527;Razan;Mohamed Teleb;EGY;20070626
252499;Alina;Korneeva;RUS;20070623
246476;Mariana Isabel;Higuita Barraza;COL;20070614
253681;Irem;Kurt;TUR;20070607
254768;Ema;Harajda;CZE;20070607
256711;Lena;Couto;POR;20070601
258524;Ema Yanil;Ramirez Gomez;PAR;20070530
254767;Maja;Nieradzik;POL;20070529
252557;Jenelle;Roberts;USA;20070524
252575;May;Fadida;ISR;20070522
259108;Sosanne;Malak;EGY;20070517
257877;Júlia;Coneglian Machado;BRA;20070516
258194;Nadin;Ahmed;EGY;20070515
248662;Jian;Ibrahim;EGY;20070506
258520;Aline;Aveiro;PAR;20070505
255642;Isabella;Ortiz;COL;20070503
244089;Meriem;Makhlouf;TUN;20070418
239493;Khadija;Ben Salem;TUN;20070412
256678;Carlota;Balseiro;GTM;20070410
245098;Sofiia;Mykhailets;UKR;20070405
259104;Brenda;Fruhvirtova;CZE;20070402
254765;Nellie;Taraba Wallberg;SWE;20070330
256682;Mariia;Masiianskaia;RUS;20070322
249673;Danielle Dai;Chapman;RSA;20070320
254770;Mia;Yamakita;USA;20070319
255662;Arina;Varaksina;RUS;20070318
253683;Asel;Calbay;TUR;20070316
238205;Mika;Buchnik;ISR;20070312
249664;Nehal;Ahmed Mohamed Ahmed Korayem;EGY;20070305
239129;Lina;Soussi;TUN;20070227
238080;Karina;Mohamed;EGY;20070225
234487;Ines;Vandekerckhove;FRA;20070224
238184;Tereza;Valentova;CZE;20070220
239471;Bilyana;Milcheva;BUL;20070216
255664;Ipek;Sakiroglu;TUR;20070212
252503;Brooke;Wrigley;USA;20070205
258205;Africa;Burillo Berezak;ESP;20070205
252593;Sapir;Cohen;ISR;20070204
245077;Yelyzaveta;Kotliar;UKR;20070201
234486;Severine;Deppner;FRA;20070127
258534;Miray;Muge Kesal;TUR;20070123
252490;Ana Maria;Coelho Ramos;BRA;20070117
252544;Madison;Rose;USA;20070112
247669;Veronika;Podrez;UKR;20070111
255646;Sara Sofia;Sanchez Molano;COL;20070110
256692;Toffee;Ghorab;EGY;20070107
258202;Elif;Kara;TUR;20070106
234479;Shanice;Roignot;FRA;20070105
255650;Juliana;Figueroa Teusa;COL;20061226
236959;Martina Sofia;Sfilio;ARG;20061222
252554;Taylor Marie;Gales;USA;20061220
241737;Yasmine;Alaaeldin;EGY;20061219
254748;Eliska;Tichackova;CZE;20061214
241726;Lena;Thomas Iglesias;FRA;20061213
252552;Hailey;Poplin;USA;20061213
249665;Farida;Moussa;EGY;20061210
256707;Alejandra;Galindo Rincon;COL;20061210
254757;Daniella;Nylander;SWE;20061207
252548;Ellasyn;Deford;USA;20061202
237478;Hana;Sherif;EGY;20061129
254733;Antonia;Vergara Rivera;CHL;20061124
233730;Amike;Botha;RSA;20061121
257895;Hridayeshi;Pai;IND;20061111
230123;Hams;Metwali;EGY;20061108
236972;Luisina;Giovannini;ARG;20061108
252599;Ece;Gencer;TUR;20061102
252508;Mariana De Lima;Carvalho;BRA;20061031
237464;Karakat;Koilybaeva;KAZ;20061030
227093;Alessandra;Teodosescu;ITA;20061029
258203;Tarane;Taherian;IRI;20061028
239401;Andrea;Brugal Pons;DOM;20061026
245089;Tomiris;Mussina;KAZ;20061020
253657;Gaia;Greco;ITA;20061018
252588;Ela;Yener;TUR;20061016
239422;Edda;Mamedova;RUS;20061012
254752;Giuditta;Beltrami;ITA;20061010
238331;Camilia;Samel Druz;FRA;20061007
